Date,XOM,CVX
2016-01-04,49.65436935424805,57.362300872802734
2016-01-05,50.077449798583984,57.85298538208008
2016-01-06,49.660789489746094,55.567501068115234
2016-01-07,48.86591720581055,53.59841537475586
2016-01-08,47.87871170043945,53.02381896972656
2016-01-11,47.2376823425293,52.14580535888672
2016-01-12,48.20562744140625,53.03673553466797
2016-01-13,48.49410629272461,52.5073356628418
2016-01-14,50.71849060058594,55.18014907836914
2016-01-15,49.731285095214844,54.01805114746094
2016-01-19,48.9748649597168,52.62355041503906
2016-01-20,46.910743713378906,50.99016189575195
2016-01-21,47.50048828125,52.326560974121094
2016-01-22,49.08384704589844,53.93415069580078
2016-01-25,47.42357635498047,52.2232780456543
2016-01-26,49.16718673706055,54.308589935302734
2016-01-27,48.26333236694336,53.77273941040039
2016-01-28,49.35308074951172,55.47068786621094
2016-01-29,49.90436935424805,55.82576370239258
2016-02-01,48.90437316894531,55.06394577026367
2016-02-02,47.814598083496094,52.44923400878906
2016-02-03,50.30821990966797,54.631385803222656
2016-02-04,51.17363739013672,54.74113845825195
2016-02-05,51.33388900756836,53.508026123046875
2016-02-08,52.02619934082031,55.5158805847168
2016-02-09,51.7998046875,53.53385543823242
2016-02-10,51.32760238647461,53.611331939697266
2016-02-11,51.489295959472656,53.57905197143555
2016-02-12,52.414310455322266,55.15433883666992
2016-02-16,52.537208557128906,55.44853973388672
2016-02-17,53.041751861572266,57.73683547973633
2016-02-18,53.332828521728516,56.70384979248047
2016-02-19,53.36515426635742,56.55344772338867
2016-02-22,53.29402160644531,58.07027053833008
2016-02-23,52.543663024902344,55.5139274597168
2016-02-24,52.73124694824219,55.74927520751953
2016-02-25,53.0482177734375,55.76890182495117
2016-02-26,52.88003158569336,55.14778518676758
2016-02-29,51.84507369995117,54.55283737182617
2016-03-01,52.576011657714844,56.31155014038086
2016-03-02,53.494537353515625,56.97188949584961
2016-03-03,53.300506591796875,57.22685241699219
2016-03-04,53.22932434082031,57.48838424682617
2016-03-07,54.63299560546875,59.279781341552734
2016-03-08,53.449256896972656,58.017948150634766
2016-03-09,53.300506591796875,60.685455322265625
2016-03-10,53.158172607421875,61.417701721191406
2016-03-11,53.164649963378906,61.83614730834961
2016-03-14,53.306941986083984,61.6269416809082
2016-03-15,53.57215881347656,61.633460998535156
2016-03-16,53.6044921875,62.37226486206055
2016-03-17,54.400146484375,63.34640884399414
2016-03-18,54.46480178833008,63.86946105957031
2016-03-21,54.08963394165039,63.052207946777344
2016-03-22,54.413082122802734,62.4376220703125
2016-03-23,54.17372512817383,61.18887710571289
2016-03-24,54.322513580322266,62.01266098022461
2016-03-28,54.47776412963867,61.90153503417969
2016-03-29,54.67827606201172,62.31993865966797
2016-03-30,54.67181396484375,62.274200439453125
2016-03-31,54.07021713256836,62.37226486206055
2016-04-01,53.6627311706543,61.6269416809082
2016-04-04,53.792118072509766,61.08427047729492
2016-04-05,53.177589416503906,60.5873908996582
2016-04-06,53.889102935791016,62.006126403808594
2016-04-07,53.28108596801758,61.97342300415039
2016-04-08,53.824440002441406,62.980289459228516
2016-04-11,53.89558792114258,62.26765060424805
2016-04-12,54.561851501464844,63.75175476074219
2016-04-13,54.872352600097656,63.81061935424805
2016-04-14,55.260440826416016,64.0590591430664
2016-04-15,54.962886810302734,63.5687141418457
2016-04-18,55.48684310913086,64.52977752685547
2016-04-19,55.76498031616211,65.70662689208984
2016-04-20,56.146629333496094,66.48462677001953
2016-04-21,56.14015197753906,66.29503631591797
2016-04-22,56.61883544921875,66.69386291503906
2016-04-25,56.489471435546875,66.36698150634766
2016-04-26,56.68350601196289,66.87689971923828
2016-04-27,57.22041320800781,67.89685821533203
2016-04-28,56.942256927490234,66.94884490966797
2016-04-29,57.18159866333008,66.80501556396484
2016-05-02,57.653785705566406,67.5438003540039
2016-05-03,56.99401092529297,66.24272918701172
2016-05-04,56.884029388427734,65.7654800415039
2016-05-05,56.94873046875,66.30812072753906
2016-05-06,57.252742767333984,66.5958023071289
2016-05-09,57.29154968261719,65.6085433959961
2016-05-10,58.2100944519043,66.21006774902344
2016-05-11,57.92959976196289,66.12504577636719
2016-05-12,58.490570068359375,66.76579284667969
2016-05-13,57.83176803588867,65.86354064941406
2016-05-16,58.425323486328125,66.87689971923828
2016-05-17,58.39923858642578,66.5663833618164
2016-05-18,58.28183364868164,66.11048889160156
2016-05-19,58.777557373046875,65.97174072265625
2016-05-20,58.53622817993164,65.9321060180664
2016-05-23,58.444923400878906,65.66121673583984
2016-05-24,58.490570068359375,66.19639587402344
2016-05-25,58.87541198730469,67.24030303955078
2016-05-26,58.57537078857422,67.06192779541016
2016-05-27,58.71234893798828,67.40546417236328
2016-05-31,58.066585540771484,66.7315673828125
2016-06-01,58.210086822509766,66.81744384765625
2016-06-02,57.7469596862793,66.42103576660156
2016-06-03,57.642601013183594,66.50691986083984
2016-06-06,58.275299072265625,66.8438720703125
2016-06-07,59.168949127197266,68.264404296875
2016-06-08,59.221134185791016,68.1124496459961
2016-06-09,59.14283752441406,67.92745208740234
2016-06-10,58.692779541015625,67.3790512084961
2016-06-13,59.090675354003906,67.4583511352539
2016-06-14,58.9863166809082,66.91655731201172
2016-06-15,58.81018829345703,66.48710632324219
2016-06-16,59.501590728759766,66.77781677246094
2016-06-17,59.17547607421875,67.108154296875
2016-06-20,59.43639373779297,67.79530334472656
2016-06-21,59.70383834838867,68.21155548095703
2016-06-22,59.468997955322266,67.58385467529297
2016-06-23,59.87995529174805,69.00442504882812
2016-06-24,58.30791091918945,67.32621002197266
2016-06-27,57.96223068237305,66.30870819091797
2016-06-28,59.29938888549805,67.14779663085938
2016-06-29,60.3104248046875,68.3304672241211
2016-06-30,61.14537811279297,69.2620849609375
2016-07-01,61.210609436035156,68.81279754638672
2016-07-05,60.675724029541016,68.4295654296875
2016-07-06,61.37366485595703,69.0969009399414
2016-07-07,60.636600494384766,68.08602905273438
2016-07-08,61.014915466308594,69.2224349975586
2016-07-11,61.24321746826172,69.63207244873047
2016-07-12,61.934635162353516,70.5504379272461
2016-07-13,61.889007568359375,70.4645767211914
2016-07-14,61.934635162353516,70.49760437011719
2016-07-15,62.04555130004883,70.71564483642578
2016-07-18,61.84984588623047,70.09457397460938
2016-07-19,61.621543884277344,70.06153106689453
2016-07-20,61.269325256347656,69.76421356201172
2016-07-21,61.217140197753906,69.63207244873047
2016-07-22,61.32149887084961,69.81047058105469
2016-07-25,60.14084243774414,68.0992431640625
2016-07-26,59.70383834838867,67.841552734375
2016-07-27,59.29938888549805,67.56405639648438
2016-07-28,58.83626174926758,67.2535171508789
2016-07-29,58.02091979980469,67.70939636230469
2016-08-01,56.00535583496094,65.48284149169922
2016-08-02,56.77503967285156,65.79995727539062
2016-08-03,57.06857681274414,66.47388458251953
