Date,GS,MS
2016-01-04,143.60690307617188,23.58563232421875
2016-01-05,141.13430786132812,23.435789108276367
2016-01-06,137.68878173828125,22.851402282714844
2016-01-07,133.4569854736328,21.712574005126953
2016-01-08,132.90567016601562,21.26303482055664
2016-01-11,134.35679626464844,21.322973251342773
2016-01-12,134.34066772460938,21.322973251342773
2016-01-13,128.8927459716797,20.14669418334961
2016-01-14,130.83840942382812,20.341489791870117
2016-01-15,126.15258026123047,19.45740509033203
2016-01-19,127.13352966308594,19.6746768951416
2016-01-20,124.64472961425781,18.91046714782715
2016-01-21,122.94220733642578,18.56582260131836
2016-01-22,127.16596984863281,19.187681198120117
2016-01-25,122.51252746582031,18.715667724609375
2016-01-26,125.21216583251953,19.0977725982666
2016-01-27,124.62039184570312,19.120384216308594
2016-01-28,127.32809448242188,18.96965217590332
2016-01-29,130.97622680664062,19.504745483398438
2016-02-01,129.42779541015625,19.376628875732422
2016-02-02,122.98274230957031,18.464698791503906
2016-02-03,123.77725219726562,18.32904052734375
2016-02-04,126.86603546142578,18.849071502685547
2016-02-05,126.84976959228516,18.351642608642578
2016-02-08,120.99658203125,17.08549690246582
2016-02-09,120.18582153320312,17.28145408630371
2016-02-10,119.35888671875,17.108108520507812
2016-02-11,114.05696868896484,16.346906661987305
2016-02-12,118.4671630859375,17.40203857421875
2016-02-16,120.81011962890625,17.876840591430664
2016-02-17,122.36663055419922,18.261207580566406
2016-02-18,119.76432037353516,18.057720184326172
2016-02-19,119.09953308105469,18.087871551513672
2016-02-22,120.62364196777344,18.49484634399414
2016-02-23,117.47814178466797,17.869308471679688
2016-02-24,118.00507354736328,17.869308471679688
2016-02-25,120.18582153320312,18.56267547607422
2016-02-26,121.8072509765625,18.96211051940918
2016-02-29,121.75025939941406,18.615432739257812
2016-03-01,125.9190673828125,19.663021087646484
2016-03-02,125.55267333984375,19.678096771240234
2016-03-03,126.47273254394531,19.700708389282227
2016-03-04,127.7021484375,19.693166732788086
2016-03-07,126.48908233642578,19.663021087646484
2016-03-08,123.43567657470703,18.849071502685547
2016-03-09,122.05965423583984,18.54759407043457
2016-03-10,122.96343231201172,18.577741622924805
2016-03-11,125.34093475341797,19.595195770263672
2016-03-14,124.97454071044922,19.527359008789062
2016-03-15,123.78575897216797,19.165599822998047
2016-03-16,122.57259368896484,18.96211051940918
2016-03-17,124.50233459472656,19.482141494750977
2016-03-18,128.32098388671875,19.806211471557617
2016-03-21,127.25436401367188,19.549972534179688
2016-03-22,125.55267333984375,19.47460174560547
2016-03-23,125.45494842529297,19.045011520385742
2016-03-24,124.5755844116211,18.788772583007812
2016-03-28,125.25959014892578,18.630510330200195
2016-03-29,126.22847747802734,18.67572593688965
2016-03-30,127.42535400390625,18.894283294677734
2016-03-31,127.81620788574219,18.849071502685547
2016-04-01,130.12852478027344,19.240970611572266
2016-04-04,128.45944213867188,18.871673583984375
2016-04-05,126.48908233642578,18.374256134033203
2016-04-06,126.35875701904297,18.40440559387207
2016-04-07,122.46676635742188,17.876840591430664
2016-04-08,122.36090850830078,17.899446487426758
2016-04-11,123.9242172241211,18.1707706451416
2016-04-12,125.64224243164062,18.524988174438477
2016-04-13,130.15298461914062,19.504745483398438
2016-04-14,131.0160369873047,19.723310470581055
2016-04-15,129.07009887695312,19.414304733276367
2016-04-18,129.47720336914062,19.391704559326172
2016-04-19,132.43284606933594,19.94187355041504
2016-04-20,135.95840454101562,20.657855987548828
2016-04-21,134.60679626464844,20.544797897338867
2016-04-22,135.7711181640625,20.876415252685547
2016-04-25,134.41949462890625,20.748291015625
2016-04-26,135.03018188476562,20.763362884521484
2016-04-27,135.90953063964844,20.86187744140625
2016-04-28,133.76812744140625,20.634544372558594
2016-04-29,133.62158203125,20.505712509155273
2016-05-02,135.3070068359375,20.657270431518555
2016-05-03,132.83177185058594,20.376893997192383
2016-05-04,130.33213806152344,19.914640426635742
2016-05-05,129.89244079589844,19.83128547668457
2016-05-06,129.3387451171875,19.891910552978516
2016-05-09,128.2477264404297,19.778249740600586
2016-05-10,131.4313507080078,20.17987060546875
2016-05-11,129.8028564453125,19.97526741027832
2016-05-12,128.7036895751953,19.87675666809082
2016-05-13,126.48088073730469,19.619102478027344
2016-05-16,126.51344299316406,19.86159324645996
2016-05-17,125.9190673828125,19.82370376586914
2016-05-18,130.22628784179688,20.642120361328125
2016-05-19,125.9597396850586,20.164710998535156
2016-05-20,125.80504608154297,20.28595733642578
2016-05-23,126.57041931152344,20.3314266204834
2016-05-24,128.31288146972656,20.770944595336914
2016-05-25,131.29293823242188,21.05132484436035
2016-05-26,129.6400604248047,20.778520584106445
2016-05-27,130.42489624023438,20.86187744140625
2016-05-31,130.38401794433594,20.74063491821289
2016-06-01,130.78466796875,20.831567764282227
2016-06-02,130.22048950195312,20.67243003845215
2016-06-03,127.2691421508789,20.111669540405273
2016-06-06,128.40553283691406,20.34657859802246
2016-06-07,126.86033630371094,20.096515655517578
2016-06-08,126.427001953125,20.111669540405273
2016-06-09,125.2252426147461,19.763084411621094
2016-06-10,122.54364776611328,19.3538875579834
2016-06-13,121.51351165771484,19.14169692993164
2016-06-14,119.51871490478516,18.641559600830078
2016-06-15,119.494140625,18.732500076293945
2016-06-16,119.8783950805664,18.997716903686523
2016-06-17,119.06901550292969,19.179584503173828
2016-06-20,120.7940444946289,19.62668228149414
2016-06-21,121.28462982177734,19.854021072387695
2016-06-22,121.11287689208984,19.99799919128418
2016-06-23,124.80826568603516,20.68000602722168
2016-06-24,115.97866821289062,18.5809383392334
2016-06-27,114.057373046875,17.891355514526367
2016-06-28,116.42833709716797,18.64913558959961
2016-06-29,118.95453643798828,19.118961334228516
2016-06-30,121.47269439697266,19.687301635742188
2016-07-01,121.20282745361328,19.641836166381836
2016-07-05,118.09614562988281,18.944679260253906
2016-07-06,119.01995086669922,19.058340072631836
2016-07-07,120.18085479736328,19.467546463012695
2016-07-08,122.94422149658203,19.98284339904785
2016-07-11,124.42399597167969,20.051044464111328
2016-07-12,128.29107666015625,20.74063491821289
2016-07-13,129.10861206054688,20.581497192382812
2016-07-14,132.88571166992188,21.218036651611328
2016-07-15,132.14991760253906,21.225616455078125
2016-07-18,133.53164672851562,21.37717628479004
2016-07-19,131.9619140625,21.362009048461914
2016-07-20,132.25621032714844,21.809114456176758
2016-07-21,130.85000610351562,21.877309799194336
2016-07-22,131.14431762695312,21.915205001831055
2016-07-25,131.22608947753906,22.0743350982666
2016-07-26,131.75753784179688,22.150115966796875
2016-07-27,131.6185760498047,22.142484664916992
2016-07-28,131.2424774169922,22.02040672302246
2016-07-29,129.8362579345703,21.92120933532715
2016-08-01,129.3211669921875,21.745718002319336
2016-08-02,127.58796691894531,21.364213943481445
2016-08-03,129.4519805908203,21.684675216674805
2016-08-04,129.21495056152344,21.577857971191406
2016-08-05,132.51783752441406,22.13484764099121
2016-08-08,133.12283325195312,22.218788146972656
2016-08-09,133.62152099609375,22.38664436340332
2016-08-10,132.59963989257812,22.21115493774414
2016-08-11,133.9649200439453,22.417165756225586
2016-08-12,133.46621704101562,22.256933212280273
2016-08-15,135.3465576171875,22.630809783935547
2016-08-16,135.42832946777344,23.08098602294922
2016-08-17,135.44473266601562,23.172548294067383
2016-08-18,135.76356506347656,23.30988311767578
2016-08-19,135.90252685546875,23.30988311767578
2016-08-22,135.9270477294922,23.348041534423828
2016-08-23,135.77992248535156,23.439592361450195
2016-08-24,135.14219665527344,23.58456802368164
2016-08-25,135.63275146484375,23.63035011291504
2016-08-26,135.68995666503906,23.77532196044922
2016-08-29,136.42575073242188,23.966073989868164
2016-08-30,139.01112365722656,24.561220169067383
2016-08-31,139.08499145507812,24.46202850341797
2016-09-01,138.30531311035156,24.34757423400879
2016-09-02,138.85519409179688,24.332313537597656
2016-09-06,138.97828674316406,24.225494384765625
2016-09-07,139.25733947753906,24.179716110229492
2016-09-08,140.89065551757812,24.446765899658203
2016-09-09,138.3545379638672,24.10341453552246
2016-09-12,140.398193359375,24.5993709564209
2016-09-13,137.06593322753906,24.00421714782715
2016-09-14,136.3765106201172,24.080522537231445
2016-09-15,137.95236206054688,24.378095626831055
2016-09-16,136.24520874023438,24.10341453552246
2016-09-19,136.41748046875,24.11104393005371
2016-09-20,136.63092041015625,24.187347412109375
2016-09-21,137.09060668945312,24.355207443237305
2016-09-22,137.9031219482422,24.5993709564209
2016-09-23,135.5311279296875,24.34757423400879
2016-09-26,132.53533935546875,23.676132202148438
2016-09-27,133.692626953125,23.9202880859375
2016-09-28,134.15228271484375,24.240758895874023
2016-09-29,130.45887756347656,23.683761596679688
2016-09-30,132.363037109375,24.46202850341797
2016-10-03,132.19883728027344,24.378095626831055
2016-10-04,133.18377685546875,24.446765899658203
2016-10-05,136.5735321044922,24.843538284301758
2016-10-06,137.18902587890625,24.713815689086914
2016-10-07,139.38870239257812,24.65277862548828
2016-10-10,140.3817901611328,24.843538284301758
2016-10-11,138.7402801513672,24.553592681884766
2016-10-12,138.95370483398438,24.34757423400879
2016-10-13,137.41062927246094,24.210233688354492
2016-10-14,139.9549560546875,24.469661712646484
2016-10-17,138.7074737548828,24.256017684936523
2016-10-18,141.68682861328125,24.660411834716797
2016-10-19,143.22979736328125,25.125843048095703
2016-10-20,143.22979736328125,25.10295295715332
2016-10-21,143.3611297607422,25.51498031616211
2016-10-24,143.73046875,25.469202041625977
2016-10-25,144.08340454101562,25.446311950683594
2016-10-26,145.33091735839844,25.62942886352539
2016-10-27,145.88905334472656,25.959484100341797
2016-10-28,145.3883819580078,25.72921371459961
2016-10-31,146.29116821289062,25.76759147644043
2016-11-01,146.14344787597656,25.606401443481445
2016-11-02,144.9287567138672,25.26866912841797
2016-11-03,144.6250762939453,25.184228897094727
2016-11-04,144.38706970214844,25.161205291748047
2016-11-07,148.95046997070312,26.09764862060547
2016-11-08,149.3115997314453,26.174409866333008
2016-11-09,158.10186767578125,28.031946182250977
2016-11-10,164.86488342285156,29.183311462402344
2016-11-11,167.3846435546875,29.54408836364746
2016-11-14,171.68536376953125,30.204193115234375
2016-11-15,173.33509826660156,30.703123092651367
2016-11-16,169.28875732421875,30.081384658813477
2016-11-17,172.0546875,30.680084228515625
2016-11-18,172.6456298828125,31.033170700073242
2016-11-21,173.24481201171875,31.132965087890625
2016-11-22,173.26943969726562,31.11761474609375
2016-11-23,174.25430297851562,31.501405715942383
2016-11-25,173.49098205566406,31.54744529724121
2016-11-28,172.6456298828125,31.04085350036621
2016-11-29,174.33338928222656,31.163660049438477
2016-11-30,180.54104614257812,31.747028350830078
2016-12-01,186.58412170410156,32.361080169677734
2016-12-02,183.89187622070312,32.107784271240234
2016-12-05,188.16482543945312,32.307350158691406
2016-12-06,190.49473571777344,32.62973403930664
2016-12-07,193.9361114501953,32.72951889038086
2016-12-08,198.7853546142578,33.451053619384766
2016-12-09,199.11474609375,33.566192626953125
2016-12-12,195.2616729736328,32.99050521850586
2016-12-13,196.3978271484375,32.6681022644043
2016-12-14,197.53392028808594,32.89838790893555
2016-12-15,200.06146240234375,33.01353073120117
2016-12-16,196.68592834472656,32.783267974853516
2016-12-19,196.82591247558594,32.87535858154297
2016-12-20,200.13555908203125,33.38965606689453
